"","1"
"1","1"
"123","123"
"2017-04-12","2017-04-12"
"2017-04-12","2017-04-12"
"test","test"
"test@test.net","test@test.net"
"test","test"
"test2","test2"
"",""
"",""
"test34","test34"
"test5","test5"
"test7","test7"
"test@test.net","test@test.net"
"",""
"t123@lillemap.net","t123@lillemap.net"
"2017-04-12","2017-04-12"
"2017-04-12","2017-04-12"
"1","1"
"TE11X1","TE(ENC6)X1"
"",""
"LIN","LIN"
"4","3"
"85.22","1936.00"
"EXP EXPORT","EXP EXPORT"
"S13 EXPORT","S13 EXPORT"
"TRCDTRADE","TRCDTRADE"
"Installations","Installations"
"Export","Export"
"N","N"
